"Account","Account Name","Location","Department","Class","Period 1 Amount","Period 2 Amount","Period 3 Amount","Period 4 Amount","Period 5 Amount","Period 6 Amount","Period 7 Amount","Period 8 Amount","Period 9 Amount","Period 10 Amount","Period 11 Amount","Period 12 Amount","Year","Subsidiary","Category"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","UK","Marketing : CRM","Global Marketing","-48309.5","-48309.5","-48309.5","-48309.5","-48309.5","-48309.5","-48309.5","-48309.5","-48309.5","-48309.5","-48309.5","-48309.5","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","DE","Marketing : CRM","Global Marketing","-22473.52","-22473.52","-22473.52","-22473.52","-22473.52","-22473.52","-22473.52","-22473.52","-22473.52","-22473.52","-22473.52","-22473.52","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","CH","Marketing : CRM","Global Marketing"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","SE","Marketing : CRM","Global Marketing","-3213.39","-3213.39","-3213.39","-3213.39","-3213.39","-3213.39","-3213.39","-3213.39","-3213.39","-3213.39","-3213.39","-3213.39","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","DK","Marketing : CRM","Global Marketing","-1059.91","-1059.91","-1059.91","-1059.91","-1059.91","-1059.91","-1059.91","-1059.91","-1059.91","-1059.91","-1059.91","-1059.91","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","NO","Marketing : CRM","Global Marketing","-866.59","-866.59","-866.59","-866.59","-866.59","-866.59","-866.59","-866.59","-866.59","-866.59","-866.59","-866.59","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","US","Marketing : CRM","Global Marketing","-9925.82","-9925.82","-9925.82","-9925.82","-9925.82","-9925.82","-9925.82","-9925.82","-9925.82","-9925.82","-9925.82","-9925.82","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","PL","Marketing : CRM","Global Marketing","-8997.96","-9132.92","-9269.92","-9408.97","-9550.1","-9693.35","-9838.75","-9986.33","-10136.13","-10288.17","-10442.49","-10599.13","FY 2019","Travelist Sp. z o.o.","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","NL","Marketing : CRM","Global Marketing","-4831.14","-4831.14","-4831.14","-4831.14","-4831.14","-4831.14","-4831.14","-4831.14","-4831.14","-4831.14","-4831.14","-4831.14","FY 2019","Secret Escapes Limited","Board Plan"
"51100","Cost of Sales : Core Cost of Sales : E-Mail Distribution : E-Mail Distribution - Core","BE","Marketing : CRM","Global Marketing","-1569.66","-1569.66","-1569.66","-1569.66","-1569.66","-1569.66","-1569.66","-1569.66","-1569.66","-1569.66","-1569.66","-1569.66","FY 2019","Secret Escapes Limited","Board Plan"
